,condition,odometer,mmr,sellingprice,income,using_time,difference,selling_year,make,body
331477,3.2,16610.0,15700,14000,82750,2,-1700,2015,Ford,Sedan
315773,4.9,36471.0,15600,16100,59100,2,500,2015,Ford,SUV
330990,4.1,107711.0,5425,6200,82750,8,775,2015,Chevrolet,SUV
197710,2.5,56635.0,9625,9200,67090,2,-425,2015,Ford,Sedan
4977,1.9,127525.0,1775,1750,77030,13,-25,2014,Ford,SUV
229442,3.2,61118.0,9500,9100,89090,2,-400,2015,Chevrolet,Sedan
223313,2.2,108215.0,5000,5200,89090,13,200,2015,Chevrolet,SUV
109898,2.4,133190.0,3875,2900,68360,10,-975,2015,Chevrolet,SUV
509541,4.6,36443.0,18450,19000,71660,2,550,2015,Ford,SUV
21455,3.7,116754.0,4300,4700,77030,12,400,2015,Nissan,SUV
36614,4.2,37654.0,12850,13000,77030,1,150,2015,Chevrolet,Sedan
661,3.2,11357.0,12600,11500,77030,1,-1100,2014,Nissan,Sedan
50151,3.7,157892.0,1350,1400,77030,16,50,2015,Ford,SUV
540580,3.4,41981.0,9100,10000,81400,4,900,2015,Chevrolet,Sedan
490863,1.9,138134.0,2125,2600,73130,8,475,2015,Ford,Sedan
477799,2.1,62571.0,9900,8800,73130,2,-1100,2014,Nissan,Sedan
526890,3.6,32118.0,9775,9800,70210,4,25,2015,Nissan,Sedan
321556,2.8,29049.0,11900,10900,82750,2,-1000,2014,Ford,Sedan
104170,2.5,84245.0,8450,7000,68360,5,-1450,2015,Ford,SUV
195479,1.0,183840.0,2300,1000,67090,12,-1300,2015,Nissan,SUV
103800,4.5,37555.0,22300,22400,68360,1,100,2015,Ford,Sedan
97931,1.9,97174.0,13700,14400,68360,8,700,2015,Chevrolet,SUV
53379,3.5,25396.0,11050,11000,77030,3,-50,2015,Nissan,Sedan
512804,4.7,33319.0,18700,18500,71660,1,-200,2015,Ford,SUV
66746,3.6,32914.0,11200,10600,77030,3,-600,2015,Chevrolet,Sedan
83114,2.6,73823.0,8775,8500,68360,6,-275,2015,Nissan,SUV
517340,3.9,70040.0,6125,7600,71660,3,1475,2015,Ford,Sedan
533836,3.7,44265.0,11750,10400,82150,3,-1350,2015,Nissan,Sedan
140008,4.8,29498.0,9625,9400,73100,2,-225,2015,Chevrolet,Sedan
427492,2.0,172927.0,3950,3800,61450,9,-150,2015,Ford,SUV
230611,2.5,156237.0,4075,3100,89090,9,-975,2015,Chevrolet,Sedan
434587,2.4,146496.0,1125,1000,74430,13,-125,2015,Ford,Sedan
491789,3.0,19568.0,13650,13500,73130,1,-150,2015,Chevrolet,Sedan
391663,3.9,169988.0,3075,3950,65610,7,875,2015,Chevrolet,Sedan
