,condition,odometer,mmr,sellingprice,using_time
248481,4.5,6751.0,31800,31500,1
207524,4.6,14994.0,15800,16400,1
537837,1.9,179807.0,5550,4500,5
549425,4.5,18229.0,13350,14900,2
1949,2.7,53684.0,8050,8800,3
150288,3.2,54737.0,13450,13500,2
413628,4.4,49589.0,34200,36200,4
534867,2.1,181791.0,3350,3000,10
382707,4.7,111980.0,6300,6900,8
97160,2.0,148736.0,18800,17700,7
135941,3.7,111138.0,4200,4500,9
229365,3.8,80355.0,9225,9500,5
375872,4.5,43971.0,24500,23800,3
407351,2.7,45995.0,20300,18000,3
105523,3.7,107742.0,24300,23600,8
290928,2.9,62194.0,21400,19200,2
524972,4.2,21542.0,12100,12000,0
65842,3.7,29904.0,17600,17400,0
530,3.3,38131.0,21600,20000,1
447937,4.2,33036.0,19500,20300,4
478725,3.5,44982.0,18300,18400,3
26960,2.8,122344.0,3675,1000,8
464417,1.9,110795.0,2600,3600,11
243797,2.1,72205.0,14550,13000,4
283747,4.9,21749.0,12150,12500,1
499980,3.8,13112.0,15600,15400,1
445384,3.0,20461.0,30500,25000,1
279315,2.0,1275.0,22000,21200,1
333480,2.7,103597.0,4225,2700,9
289255,4.0,25096.0,17950,17800,2
305756,4.0,73671.0,12250,14600,4
38797,3.4,96074.0,20000,20500,7
201529,3.6,19455.0,23000,23200,2
142289,3.5,139381.0,7950,9000,9
322086,4.1,113740.0,2200,3500,11
37621,2.8,91620.0,26600,23500,5
143812,4.2,31734.0,12400,12100,3
184916,2.4,140167.0,7675,8200,11
235676,,106510.0,3600,4800,13
47151,1.9,76110.0,9750,8500,7
218625,4.7,26712.0,25500,26600,2
51996,3.8,26476.0,18050,21000,4
487711,3.3,29133.0,17100,15000,4
415588,1.9,85690.0,6325,6800,7
402680,4.3,109323.0,13050,14000,7
513975,4.3,20858.0,11350,11300,2
288571,4.2,53155.0,9175,10400,3
136669,3.5,41540.0,23900,23500,3
21352,2.0,143983.0,1850,2400,11
253556,3.5,3549.0,22600,19000,2
515550,3.3,65448.0,13650,13500,3
141399,4.4,37600.0,10600,11200,2
456965,3.6,159466.0,4875,7000,10
211296,4.6,14434.0,39200,40800,2
385506,3.7,76242.0,20700,19300,4
76651,2.0,213711.0,2125,800,9
523960,2.3,81424.0,15650,14000,5
239220,4.8,10234.0,12750,12700,0
361459,2.2,41397.0,9675,8500,4
471525,1.9,142474.0,1825,2800,13
216573,4.9,22346.0,18850,20300,2
414294,2.6,69774.0,8125,10300,13
217965,4.4,36844.0,8275,9000,4
57415,3.6,65485.0,11050,10500,2
363116,4.6,12236.0,12000,11600,1
195487,3.0,197956.0,425,250,13
287301,1.9,201622.0,1500,2100,15
498435,1.9,170458.0,8250,7000,10
451657,2.7,112360.0,6050,7500,7
21253,3.7,122597.0,2850,4700,10
523034,3.9,63956.0,14800,15900,3
390578,2.1,104380.0,10100,8400,9
458537,1.9,333154.0,1750,2900,10
254073,3.7,45070.0,8650,8100,3
30265,3.6,127483.0,13050,13250,8
545936,3.7,63247.0,29000,31900,5
212034,4.4,34141.0,11850,11800,1
96523,4.5,42203.0,14750,14500,1
334414,4.4,78251.0,24500,24100,5
535372,1.9,107053.0,6500,5500,9
411789,3.5,89063.0,3750,6000,6
332908,4.2,35435.0,11850,12800,3
389088,2.7,56320.0,14150,13100,2
249914,4.0,12739.0,16050,15700,1
233606,3.3,88524.0,8575,7000,5
390543,4.8,64293.0,31800,28100,4
515309,4.3,31313.0,17350,17300,5
44558,4.5,40418.0,13000,13100,2
133221,4.0,26914.0,18600,18300,1
370949,3.5,84833.0,6100,5500,7
148136,1.9,74794.0,9825,7600,4
123469,3.8,17954.0,11400,11600,4
122147,,26099.0,25100,11000,2
248987,2.1,29760.0,13900,11200,4
287535,4.1,44826.0,13800,17100,8
503433,4.5,20103.0,16250,16700,1
39226,3.7,51632.0,13500,13400,2
539624,3.9,88451.0,4550,5100,8
507941,4.1,16253.0,20000,19700,0
277383,3.9,38627.0,8525,10300,6
370524,4.8,28008.0,15100,15600,4
417306,3.9,61450.0,8975,9000,3
298530,2.8,19664.0,23100,21700,2
38806,2.3,121841.0,8275,8200,7
449404,3.5,100621.0,1850,1300,12
235231,4.1,26099.0,9475,11500,10
239289,2.5,13655.0,15150,13800,0
292564,3.4,29432.0,18500,18500,1
409676,3.7,51561.0,41400,38200,2
470794,,17404.0,19100,15200,0
24954,3.2,61637.0,9475,10300,3
527856,4.0,17437.0,22400,19600,3
155042,4.8,42730.0,35500,34700,2
312582,3.0,57169.0,9350,7500,4
218985,4.4,44547.0,18150,17800,3
304756,2.4,135349.0,7825,6400,10
549072,3.5,106745.0,4275,5300,9
359012,1.8,141072.0,5225,3500,8
62389,4.5,30445.0,10700,11200,3
322106,1.9,15445.0,17650,11500,1
53437,3.7,98847.0,7825,9400,5
235063,2.8,113772.0,4500,3800,9
75910,2.0,1.0,10100,500,8
85569,3.9,4030.0,13050,13900,1
220278,3.7,51812.0,20600,23750,3
541008,2.4,42996.0,14250,14600,3
16747,4.2,32317.0,20600,19000,4
299119,4.8,27718.0,19250,18200,1
407355,3.2,59808.0,11900,10300,3
84550,2.9,30817.0,12850,12400,2
49877,1.9,108781.0,4125,4650,8
249232,2.5,135598.0,8300,7500,7
334142,3.6,29881.0,18950,18500,3
63366,1.0,75304.0,2025,1750,12
454304,4.2,24682.0,11450,11300,1
23914,3.7,103341.0,9325,9750,9
435113,2.6,67268.0,12650,11500,5
414709,2.4,7025.0,15850,14000,1
482458,3.5,7217.0,19950,14700,2
191475,,188620.0,700,1000,13
28206,1.9,152123.0,3475,2000,9
431523,2.2,60691.0,1575,1900,13
168332,4.1,15503.0,12350,12400,3
434266,2.1,140792.0,3450,800,9
274609,1.9,83781.0,2225,1200,12
153022,3.6,97062.0,13600,13200,9
132092,3.5,77175.0,12300,13400,7
329387,1.9,114796.0,11100,7000,6
363572,4.9,61249.0,5225,7100,7
488159,1.9,39148.0,9900,6200,3
298311,2.1,112095.0,9375,9100,7
392317,4.8,101302.0,4725,5900,9
455180,4.6,60769.0,16300,17500,4
298003,2.5,163771.0,800,400,14
141487,4.4,37665.0,13500,12800,3
83449,4.4,8250.0,34600,40000,1
449490,3.8,71316.0,1175,3000,14
72034,3.4,120854.0,5875,5800,9
159151,3.6,33697.0,12700,12500,1
435765,2.3,118153.0,6075,5500,7
108349,3.8,47508.0,24000,24500,4
364850,3.9,62009.0,9400,10800,8
371250,4.3,28076.0,15100,16100,2
71033,4.5,10030.0,27200,23900,0
245593,2.9,75598.0,10750,12600,8
479961,4.9,56322.0,15150,17200,4
380453,4.1,18337.0,21200,24400,2
304927,2.1,67258.0,8350,7200,2
101572,1.9,121757.0,5300,4600,8
125127,4.6,46941.0,11550,10700,3
393796,4.3,9495.0,30300,29800,1
513485,2.6,54153.0,9900,7000,2
410128,2.4,159806.0,7050,5800,10
148076,2.8,39652.0,17400,15500,3
474526,3.5,85301.0,8875,9300,3
279831,1.9,96536.0,8050,5600,8
327350,4.2,30827.0,12850,13500,3
96115,2.9,115774.0,2450,800,6
234102,2.2,69764.0,7550,7500,8
332897,2.9,27661.0,9550,8800,3
403733,3.7,46658.0,11050,11100,3
242959,2.6,121240.0,3450,2700,9
515287,2.3,38486.0,10850,8500,4
24786,2.8,53006.0,39600,37300,3
102742,4.2,101931.0,16400,18100,5
396851,4.2,18930.0,15550,15700,2
405361,2.0,191247.0,375,500,12
180574,1.9,49225.0,8550,8100,2
221475,3.4,14257.0,14050,14400,1
261932,1.8,129893.0,3275,1700,9
138962,4.9,39826.0,17550,17800,3
530351,1.9,123497.0,5850,5300,6
211106,4.2,30919.0,10800,11000,2
106139,4.1,33426.0,14350,14700,3
124011,3.4,57913.0,26600,24250,4
175408,3.1,148407.0,6075,3600,8
70947,4.2,76265.0,15300,15750,4
195175,1.9,135298.0,5950,5300,8
155653,3.0,33917.0,12500,15500,3
239508,4.0,19064.0,13400,13400,2
282585,3.1,32983.0,21100,20400,2
72224,2.6,136058.0,4175,4700,7
407260,1.9,127759.0,2425,1300,11
377220,1.0,22063.0,11000,1500,2
156236,3.2,81748.0,21300,16500,4
247837,3.6,37188.0,8175,6900,5
350710,3.8,20380.0,22000,21000,3
216004,5.0,103521.0,17400,19100,3
370353,4.4,32819.0,17700,18400,2
237369,3.3,28936.0,14150,14600,1
519016,2.7,90975.0,5475,4500,7
267627,3.7,47233.0,19600,18800,3
249461,2.3,192949.0,5300,6200,9
273746,1.9,139731.0,1725,1400,10
226185,1.9,169946.0,3500,1100,10
418541,4.7,10522.0,15850,16300,1
215830,3.6,49335.0,39700,42000,4
245269,2.8,94106.0,12500,11500,5
33458,3.8,28181.0,12300,13250,3
55631,3.9,33367.0,13150,14200,1
287738,2.0,226504.0,2125,1400,16
159246,4.3,47249.0,15650,16000,3
64986,4.1,43948.0,7425,8700,1
51410,3.1,146001.0,16700,17400,11
386775,4.8,20711.0,21100,19000,3
489003,3.5,37559.0,9625,9700,4
149009,2.0,28828.0,11250,6900,1
235088,2.0,158600.0,1150,700,11
325312,3.1,79474.0,9475,9100,3
273678,1.9,111585.0,4250,4400,8
226848,2.9,112694.0,5575,4600,12
362379,2.3,132466.0,2325,2500,12
144165,4.4,29962.0,10900,11600,2
121612,3.7,21764.0,24800,25000,2
243217,4.8,16023.0,12500,13200,2
224362,4.2,70519.0,13650,13500,3
236720,2.4,31156.0,11700,10400,2
466456,1.9,160566.0,975,300,12
343998,1.9,130810.0,3700,3900,7
28579,4.8,2862.0,37400,39750,1
483762,1.9,16497.0,15200,14000,1
280095,4.4,10795.0,13400,16000,3
28512,4.0,47671.0,13350,14100,2
320000,1.0,9677.0,18150,11000,0
234788,,74668.0,4775,2200,9
181881,4.4,32517.0,33800,33300,3
288478,4.3,24447.0,12200,12600,2
373769,4.2,23686.0,33300,33600,2
372349,3.3,87181.0,8750,9800,6
193265,4.2,51356.0,13750,13600,2
235252,,103969.0,5250,6200,10
323401,2.4,28518.0,22600,20600,4
439591,3.2,116471.0,5650,5900,11
289307,4.2,14948.0,23500,22600,3
84595,2.3,85435.0,13150,11700,6
454062,1.9,153568.0,4750,4700,12
139274,2.9,22061.0,30400,27500,3
395388,4.6,26245.0,45000,45600,0
61402,4.2,96371.0,6550,5750,8
472900,5.0,5240.0,15700,15000,1
30102,3.8,51452.0,33300,27500,5
338154,4.1,118440.0,7400,7700,4
184204,4.4,16437.0,13150,13200,2
512987,2.0,141756.0,3525,4050,7
58462,2.0,15917.0,11300,1400,0
10279,4.2,24645.0,16650,17600,2
196948,4.7,60147.0,13950,14400,3
324488,1.9,98163.0,3850,2900,9
397198,5.0,18853.0,29800,28000,2
22408,1.9,117346.0,3925,2500,9
135615,1.0,117912.0,1875,1000,16
359266,3.6,24448.0,19850,19500,3
23877,3.4,92633.0,7900,6500,8
329964,1.9,158779.0,2175,2500,13
269345,4.6,13732.0,12850,12800,2
138807,2.7,28157.0,21100,17600,2
545732,2.9,40446.0,30200,28500,2
95400,4.0,30448.0,16700,17600,4
156796,4.7,62262.0,9075,11300,7
230674,2.2,34312.0,14800,13900,3
166986,3.5,78498.0,9075,10800,5
506155,3.5,59517.0,27300,25700,2
401056,3.5,121622.0,3850,2400,11
51889,4.4,5047.0,14950,16250,3
363703,4.2,41903.0,11400,11500,2
141859,3.7,76111.0,13500,11700,8
495483,3.9,40999.0,19050,17200,2
352271,2.9,98129.0,2675,2800,7
404652,1.9,28265.0,16150,14000,2
412238,2.5,134430.0,1350,2800,14
405275,1.9,122260.0,3650,2700,10
151856,5.0,33082.0,26500,28000,4
518477,5.0,1046.0,27400,26200,1
6759,4.2,51728.0,22000,23500,4
272704,3.7,58537.0,13800,16300,6
298237,4.2,57156.0,8550,9000,3
513415,4.0,30231.0,39900,41000,1
85947,3.1,36472.0,13450,13700,2
445280,2.8,132183.0,6500,6200,9
212148,4.5,19047.0,27200,28500,2
441526,4.3,49396.0,14100,14200,7
443411,2.6,39906.0,9800,8500,2
437661,2.7,117456.0,4150,3700,6
250486,3.0,35070.0,53800,48500,9
350009,2.2,88926.0,12450,12200,7
451774,4.2,13767.0,15650,15500,1
181559,3.2,39723.0,12750,13600,1
252440,4.1,20242.0,23100,23800,3
491224,4.5,5780.0,13950,15600,1
518562,4.2,32788.0,16100,16600,2
499454,2.1,95532.0,17950,19500,4
476774,4.1,67766.0,19450,19600,2
293680,4.1,43700.0,13050,12700,2
424045,4.1,43341.0,15850,15400,2
185633,4.4,12279.0,24500,25000,15
222143,1.9,136043.0,6975,6900,9
468018,1.9,103390.0,3650,3000,6
46475,3.5,139840.0,4100,5300,12
492066,3.6,30324.0,22700,22700,2
16451,3.8,31619.0,13450,13500,3
452345,3.5,109862.0,2875,3500,8
276514,2.6,32678.0,17400,16000,4
134847,2.9,30364.0,23600,21400,3
414703,4.9,6391.0,17850,17000,1
233381,3.7,84954.0,14400,13300,5
394268,2.7,177956.0,6250,6800,11
99154,1.9,102602.0,5450,6400,10
173296,3.6,134009.0,4050,3900,7
411492,4.6,37338.0,11150,13100,3
29905,4.6,35080.0,12750,13250,3
148930,3.5,141358.0,9550,10500,6
422282,3.9,32254.0,18800,18200,1
523438,1.9,160573.0,4675,3400,10
364765,2.9,40374.0,22300,20000,4
58924,1.9,211875.0,2200,3200,10
476503,4.9,5619.0,15450,16000,2
472391,3.1,44625.0,9525,9600,3
186770,2.5,95652.0,10200,9500,6
375736,4.8,27829.0,12050,11600,1
304190,3.4,32646.0,10250,9000,2
43290,3.6,75715.0,7675,9200,4
318573,3.6,47162.0,17150,17800,1
124736,4.2,6983.0,15900,16200,1
517419,2.0,43649.0,7900,7100,6
313346,4.4,15691.0,14100,14500,1
129601,3.7,40049.0,15700,14400,3
181265,2.7,20762.0,14200,11700,2
531486,3.3,127244.0,7400,6000,9
67286,4.0,15425.0,31500,32000,1
68903,3.8,30608.0,22200,22500,2
145948,3.8,37990.0,19050,18800,8
471899,2.0,35695.0,11350,7600,2
99310,3.7,43336.0,16000,16700,1
48125,4.2,61787.0,11300,14100,4
372433,2.8,86896.0,2850,2900,9
28067,4.8,82197.0,10100,9000,5
364677,4.8,18765.0,17350,19500,2
177619,2.9,59849.0,17050,16400,2
352955,4.3,40842.0,10550,10600,2
237016,1.9,215211.0,3975,3900,7
213932,4.1,28669.0,11700,11700,1
344036,2.8,110756.0,5700,6100,10
452449,1.9,243201.0,350,1400,10
309056,4.3,14323.0,13300,13800,3
517430,2.1,110478.0,6925,7000,7
28801,2.4,29823.0,13850,12000,3
131770,2.5,41966.0,22100,21000,3
126396,1.9,13674.0,50200,43500,3
341224,3.3,59812.0,11600,12200,2
251144,1.9,92388.0,5525,3200,3
